model,episode,elo
PPO_SelfPlay,550,1458.5709228515625
PPO_SelfPlay,551,1428.702880859375
PPO_SelfPlay,552,1431.2034912109375
PPO_SelfPlay,553,1433.671142578125
PPO_SelfPlay,554,1412.16455078125
PPO_SelfPlay,555,1414.8936767578125
PPO_SelfPlay,556,1417.583740234375
PPO_SelfPlay,557,1420.236083984375
PPO_SelfPlay,558,1435.81787109375
PPO_SelfPlay,559,1438.2257080078125
PPO_SelfPlay,560,1447.904052734375
PPO_SelfPlay,561,1421.6824951171875
PPO_SelfPlay,562,1392.2779541015625
PPO_SelfPlay,563,1408.4296875
PPO_SelfPlay,564,1412.54541015625
PPO_SelfPlay,565,1425.013916015625
PPO_SelfPlay,566,1436.7662353515625
PPO_SelfPlay,567,1439.1619873046875
PPO_SelfPlay,568,1441.52734375
PPO_SelfPlay,569,1454.697265625
PPO_SelfPlay,570,1424.8740234375
PPO_SelfPlay,571,1427.4259033203125
PPO_SelfPlay,572,1429.943603515625
PPO_SelfPlay,573,1432.4278564453125
PPO_SelfPlay,574,1402.8795166015625
PPO_SelfPlay,575,1373.7451171875
PPO_SelfPlay,576,1388.888427734375
PPO_SelfPlay,577,1359.97119140625
PPO_SelfPlay,578,1363.5498046875
PPO_SelfPlay,579,1378.466064453125
PPO_SelfPlay,580,1349.719970703125
PPO_SelfPlay,581,1353.4906005859375
